,region1,region2,corrected_p_set1,corrected_p_set2,corrected_p_set3,region1_set1_mean,region2_set1_mean,region1_set2_mean,region2_set2_mean,region1_set3_mean,region2_set3_mean
31,Paracentral-Brainstem,S1-Lenti,0.0,0.0,0.0,1.435655108287092,1.9834085455689197,1.6124056793198063,2.0014975647161988,1.439009856997847,1.9811860703277788
32,Paracentral-Brainstem,Paracentral-Lenti,0.0025,0.00287,0.0,1.435655108287092,1.765830802603035,1.6124056793198063,1.8233614002449978,1.439009856997847,1.5798906343981873
33,Paracentral-Brainstem,M1-Thalfus,0.10788,0.22231,0.0117,1.435655108287092,1.3822077159082047,1.6124056793198063,1.4176017508501535,1.439009856997847,1.3334962922600606
34,Paracentral-Brainstem,S1-Thalfus,0.00013,0.00034,0.0001,1.435655108287092,1.702252632330378,1.6124056793198063,1.8100742797863323,1.439009856997847,1.5474433507815186
35,Paracentral-Brainstem,Paracentral-Thalfus,0.18103,0.19939,0.00268,1.435655108287092,1.7980529846507451,1.6124056793198063,1.8291328237664368,1.439009856997847,1.6584312349107126
36,Paracentral-Brainstem,M1L-M1R,2e-05,2e-05,0.0,1.435655108287092,2.300693984593693,1.6124056793198063,2.3032283253476753,1.439009856997847,1.9413750502711478
37,Paracentral-Brainstem,S1L-S1R,1e-05,0.0,0.00533,1.435655108287092,1.9783712770506792,1.6124056793198063,2.1534207211664183,1.439009856997847,1.508465060537811
38,Paracentral-Brainstem,S1-M1,0.0,0.0,0.0,1.435655108287092,2.7107985053313124,1.6124056793198063,2.6674999236478785,1.439009856997847,2.2102192623147423
39,M1-Caud,S1-Caud,0.00102,0.00065,0.53195,1.701805965761697,1.7833485903210817,1.8379609065947553,1.8918857528443846,1.9352813173338559,1.470492020934572
40,M1-Caud,Paracentral-Caud,0.61003,0.96035,0.3732,1.701805965761697,1.937980993420645,1.8379609065947553,1.9022046727400277,1.9352813173338559,1.6730481831034218
41,M1-Caud,M1-Lenti,0.01464,0.01767,0.01386,1.701805965761697,1.7256435746778451,1.8379609065947553,1.792370307339664,1.9352813173338559,1.7142317414755406
42,M1-Caud,S1-Lenti,1e-05,2e-05,0.0,1.701805965761697,1.9834085455689197,1.8379609065947553,2.0014975647161988,1.9352813173338559,1.9811860703277788
43,M1-Caud,Paracentral-Lenti,0.03596,0.05232,0.13034,1.701805965761697,1.765830802603035,1.8379609065947553,1.8233614002449978,1.9352813173338559,1.5798906343981873
44,M1-Caud,M1-Thalfus,0.25235,0.47156,0.45811,1.701805965761697,1.3822077159082047,1.8379609065947553,1.4176017508501535,1.9352813173338559,1.3334962922600606
45,M1-Caud,S1-Thalfus,0.00081,0.00247,0.4248,1.701805965761697,1.702252632330378,1.8379609065947553,1.8100742797863323,1.9352813173338559,1.5474433507815186
46,M1-Caud,Paracentral-Thalfus,0.31944,0.39537,0.53195,1.701805965761697,1.7980529846507451,1.8379609065947553,1.8291328237664368,1.9352813173338559,1.6584312349107126
47,M1-Caud,M1L-M1R,3e-05,2e-05,0.00665,1.701805965761697,2.300693984593693,1.8379609065947553,2.3032283253476753,1.9352813173338559,1.9413750502711478
48,M1-Caud,S1L-S1R,2e-05,0.0,0.21459,1.701805965761697,1.9783712770506792,1.8379609065947553,2.1534207211664183,1.9352813173338559,1.508465060537811
49,M1-Caud,S1-M1,0.0,0.0,0.0,1.701805965761697,2.7107985053313124,1.8379609065947553,2.6674999236478785,1.9352813173338559,2.2102192623147423
50,S1-Caud,Paracentral-Caud,0.00183,0.0001,0.89894,1.7833485903210817,1.937980993420645,1.8918857528443846,1.9022046727400277,1.470492020934572,1.6730481831034218
51,S1-Caud,M1-Lenti,0.99254,0.76862,0.0129,1.7833485903210817,1.7256435746778451,1.8918857528443846,1.792370307339664,1.470492020934572,1.7142317414755406
52,S1-Caud,S1-Lenti,0.00052,0.00247,0.0,1.7833485903210817,1.9834085455689197,1.8918857528443846,2.0014975647161988,1.470492020934572,1.9811860703277788
53,S1-Caud,Paracentral-Lenti,0.3559,0.29681,0.06247,1.7833485903210817,1.765830802603035,1.8918857528443846,1.8233614002449978,1.470492020934572,1.5798906343981873
54,S1-Caud,M1-Thalfus,0.08329,0.03202,0.95331,1.7833485903210817,1.3822077159082047,1.8918857528443846,1.4176017508501535,1.470492020934572,1.3334962922600606
55,S1-Caud,S1-Thalfus,0.11126,0.49029,0.05725,1.7833485903210817,1.702252632330378,1.8918857528443846,1.8100742797863323,1.470492020934572,1.5474433507815186
56,S1-Caud,Paracentral-Thalfus,0.02311,0.0209,0.99315,1.7833485903210817,1.7980529846507451,1.8918857528443846,1.8291328237664368,1.470492020934572,1.6584312349107126
57,S1-Caud,M1L-M1R,0.01863,0.02284,0.00843,1.7833485903210817,2.300693984593693,1.8918857528443846,2.3032283253476753,1.470492020934572,1.9413750502711478
58,S1-Caud,S1L-S1R,0.01295,0.00383,0.11547,1.7833485903210817,1.9783712770506792,1.8918857528443846,2.1534207211664183,1.470492020934572,1.508465060537811
59,S1-Caud,S1-M1,0.0,3e-05,0.0,1.7833485903210817,2.7107985053313124,1.8918857528443846,2.6674999236478785,1.470492020934572,2.2102192623147423
60,Paracentral-Caud,M1-Lenti,0.00447,0.00233,0.00533,1.937980993420645,1.7256435746778451,1.9022046727400277,1.792370307339664,1.6730481831034218,1.7142317414755406
61,Paracentral-Caud,S1-Lenti,0.0,0.0,1e-05,1.937980993420645,1.9834085455689197,1.9022046727400277,2.0014975647161988,1.6730481831034218,1.9811860703277788
62,Paracentral-Caud,Paracentral-Lenti,0.01459,0.00527,0.00341,1.937980993420645,1.765830802603035,1.9022046727400277,1.8233614002449978,1.6730481831034218,1.5798906343981873
63,Paracentral-Caud,M1-Thalfus,0.37239,0.44017,0.95331,1.937980993420645,1.3822077159082047,1.9022046727400277,1.4176017508501535,1.6730481831034218,1.3334962922600606
64,Paracentral-Caud,S1-Thalfus,0.00028,0.00018,0.15253,1.937980993420645,1.702252632330378,1.9022046727400277,1.8100742797863323,1.6730481831034218,1.5474433507815186
65,Paracentral-Caud,Paracentral-Thalfus,0.43303,0.27621,0.89894,1.937980993420645,1.7980529846507451,1.9022046727400277,1.8291328237664368,1.6730481831034218,1.6584312349107126
66,Paracentral-Caud,M1L-M1R,0.0,0.0,0.00056,1.937980993420645,2.300693984593693,1.9022046727400277,2.3032283253476753,1.6730481831034218,1.9413750502711478
67,Paracentral-Caud,S1L-S1R,0.0,0.0,0.09198,1.937980993420645,1.9783712770506792,1.9022046727400277,2.1534207211664183,1.6730481831034218,1.508465060537811
68,Paracentral-Caud,S1-M1,0.0,0.0,0.0,1.937980993420645,2.7107985053313124,1.9022046727400277,2.6674999236478785,1.6730481831034218,2.2102192623147423
69,M1-Lenti,S1-Lenti,0.0001,0.0001,0.00133,1.7256435746778451,1.9834085455689197,1.792370307339664,2.0014975647161988,1.7142317414755406,1.9811860703277788
70,M1-Lenti,Paracentral-Lenti,0.26083,0.31629,0.24852,1.7256435746778451,1.765830802603035,1.792370307339664,1.8233614002449978,1.7142317414755406,1.5798906343981873
71,M1-Lenti,M1-Thalfus,0.00713,0.0012,6e-05,1.7256435746778451,1.3822077159082047,1.792370307339664,1.4176017508501535,1.7142317414755406,1.3334962922600606
72,M1-Lenti,S1-Thalfus,0.36985,0.47156,0.15632,1.7256435746778451,1.702252632330378,1.792370307339664,1.8100742797863323,1.7142317414755406,1.5474433507815186
73,M1-Lenti,Paracentral-Thalfus,0.01863,0.0219,0.00219,1.7256435746778451,1.7980529846507451,1.792370307339664,1.8291328237664368,1.7142317414755406,1.6584312349107126
74,M1-Lenti,M1L-M1R,0.01936,0.01597,0.62789,1.7256435746778451,2.300693984593693,1.792370307339664,2.3032283253476753,1.7142317414755406,1.9413750502711478
75,M1-Lenti,S1L-S1R,0.03596,0.01189,0.95469,1.7256435746778451,1.9783712770506792,1.792370307339664,2.1534207211664183,1.7142317414755406,1.508465060537811
76,M1-Lenti,S1-M1,0.0,0.0,0.00346,1.7256435746778451,2.7107985053313124,1.792370307339664,2.6674999236478785,1.7142317414755406,2.2102192623147423
77,S1-Lenti,Paracentral-Lenti,0.00021,0.00037,0.00133,1.9834085455689197,1.765830802603035,2.0014975647161988,1.8233614002449978,1.9811860703277788,1.5798906343981873
78,S1-Lenti,M1-Thalfus,1e-05,0.0,0.0,1.9834085455689197,1.3822077159082047,2.0014975647161988,1.4176017508501535,1.9811860703277788,1.3334962922600606
79,S1-Lenti,S1-Thalfus,0.00457,0.0037,0.0,1.9834085455689197,1.702252632330378,2.0014975647161988,1.8100742797863323,1.9811860703277788,1.5474433507815186
80,S1-Lenti,Paracentral-Thalfus,0.0,0.0,0.0,1.9834085455689197,1.7980529846507451,2.0014975647161988,1.8291328237664368,1.9811860703277788,1.6584312349107126
81,S1-Lenti,M1L-M1R,0.23766,0.39537,0.00056,1.9834085455689197,2.300693984593693,2.0014975647161988,2.3032283253476753,1.9811860703277788,1.9413750502711478
82,S1-Lenti,S1L-S1R,0.41623,0.8115,0.21459,1.9834085455689197,1.9783712770506792,2.0014975647161988,2.1534207211664183,1.9811860703277788,1.508465060537811
83,S1-Lenti,S1-M1,0.01457,0.02878,0.72267,1.9834085455689197,2.7107985053313124,2.0014975647161988,2.6674999236478785,1.9811860703277788,2.2102192623147423
84,Paracentral-Lenti,M1-Thalfus,0.25738,0.10766,0.01782,1.765830802603035,1.3822077159082047,1.8233614002449978,1.4176017508501535,1.5798906343981873,1.3334962922600606
85,Paracentral-Lenti,S1-Thalfus,0.08846,0.15833,0.55355,1.765830802603035,1.702252632330378,1.8233614002449978,1.8100742797863323,1.5798906343981873,1.5474433507815186
86,Paracentral-Lenti,Paracentral-Thalfus,0.08846,0.08957,0.00267,1.765830802603035,1.7980529846507451,1.8233614002449978,1.8291328237664368,1.5798906343981873,1.6584312349107126
87,Paracentral-Lenti,M1L-M1R,0.0029,0.0029,0.60811,1.765830802603035,2.300693984593693,1.8233614002449978,2.3032283253476753,1.5798906343981873,1.9413750502711478
88,Paracentral-Lenti,S1L-S1R,0.00154,0.00064,0.67496,1.765830802603035,1.9783712770506792,1.8233614002449978,2.1534207211664183,1.5798906343981873,1.508465060537811
89,Paracentral-Lenti,S1-M1,0.0,0.0,6e-05,1.765830802603035,2.7107985053313124,1.8233614002449978,2.6674999236478785,1.5798906343981873,2.2102192623147423
90,M1-Thalfus,S1-Thalfus,0.01336,0.00898,0.11678,1.3822077159082047,1.702252632330378,1.4176017508501535,1.8100742797863323,1.3334962922600606,1.5474433507815186
91,M1-Thalfus,Paracentral-Thalfus,0.75099,0.91401,0.94016,1.3822077159082047,1.7980529846507451,1.4176017508501535,1.8291328237664368,1.3334962922600606,1.6584312349107126
92,M1-Thalfus,M1L-M1R,0.0007,0.00013,0.0043,1.3822077159082047,2.300693984593693,1.4176017508501535,2.3032283253476753,1.3334962922600606,1.9413750502711478
93,M1-Thalfus,S1L-S1R,0.00085,0.0001,0.15253,1.3822077159082047,1.9783712770506792,1.4176017508501535,2.1534207211664183,1.3334962922600606,1.508465060537811
94,M1-Thalfus,S1-M1,0.0,0.0,0.0,1.3822077159082047,2.7107985053313124,1.4176017508501535,2.6674999236478785,1.3334962922600606,2.2102192623147423
95,S1-Thalfus,Paracentral-Thalfus,0.00448,0.00898,0.1602,1.702252632330378,1.7980529846507451,1.8100742797863323,1.8291328237664368,1.5474433507815186,1.6584312349107126
96,S1-Thalfus,M1L-M1R,0.20231,0.08746,0.17416,1.702252632330378,2.300693984593693,1.8100742797863323,2.3032283253476753,1.5474433507815186,1.9413750502711478
97,S1-Thalfus,S1L-S1R,0.11335,0.01834,0.42201,1.702252632330378,1.9783712770506792,1.8100742797863323,2.1534207211664183,1.5474433507815186,1.508465060537811
98,S1-Thalfus,S1-M1,9e-05,9e-05,0.0,1.702252632330378,2.7107985053313124,1.8100742797863323,2.6674999236478785,1.5474433507815186,2.2102192623147423
99,Paracentral-Thalfus,M1L-M1R,9e-05,0.00018,0.0043,1.7980529846507451,2.300693984593693,1.8291328237664368,2.3032283253476753,1.6584312349107126,1.9413750502711478
100,Paracentral-Thalfus,S1L-S1R,0.00046,0.00022,0.1519,1.7980529846507451,1.9783712770506792,1.8291328237664368,2.1534207211664183,1.6584312349107126,1.508465060537811
101,Paracentral-Thalfus,S1-M1,0.0,0.0,0.0,1.7980529846507451,2.7107985053313124,1.8291328237664368,2.6674999236478785,1.6584312349107126,2.2102192623147423
102,M1L-M1R,S1L-S1R,0.73207,0.38604,0.79866,2.300693984593693,1.9783712770506792,2.3032283253476753,2.1534207211664183,1.9413750502711478,1.508465060537811
103,M1L-M1R,S1-M1,0.00017,0.00247,0.0,2.300693984593693,2.7107985053313124,2.3032283253476753,2.6674999236478785,1.9413750502711478,2.2102192623147423
104,S1L-S1R,S1-M1,0.00111,0.02109,0.1519,1.9783712770506792,2.7107985053313124,2.1534207211664183,2.6674999236478785,1.508465060537811,2.2102192623147423
